net,length_um
net33,156.355µm
net6,126.21µm
net1,120.975µm
clknet_0_clk,112.86µm
_063_,108.015µm
net8,104.31µm
net14,100.2µm
net2,96.61µm
net11,95.785µm
net3,87.08µm
net12,79.865µm
clknet_2_2__leaf_clk,70.425µm
rst,70.11µm
net15,70.105µm
net5,68.985µm
net4,67.265µm
clknet_2_3__leaf_clk,65.265µm
clknet_2_0__leaf_clk,64.51µm
clk,60.52µm
clknet_2_1__leaf_clk,56.805µm
net13,56.125µm
_055_,53.545µm
_051_,53.43µm
net9,51.06µm
_059_,48.95µm
net18,45.74µm
net35,44.96µm
net17,44.37µm
net19,39.33µm
_053_,39.155µm
net7,37.465µm
net30,37.11µm
_066_,35.355µm
net16,35.27µm
dbit\[1\],34.965µm
net40,34.51µm
_043_,33.155µm
net41,32.695µm
net36,32.005µm
net27,31.09µm
net124,31.02µm
net24,30.745µm
net20,30.705µm
net42,29.78µm
D[11],29.49µm
B[7],29.26µm
BN[10],28.53µm
dbit\[0\],28.03µm
D[8],27.39µm
net37,27.285µm
net34,26.83µm
net29,26.77µm
net31,26.48µm
B[2],25.71µm
_036_,25.58µm
D[0],25.48µm
net28,25.215µm
net25,25.1µm
_058_,24.68µm
sign,24.4µm
net53,24.32µm
dbit\[2\],24.01µm
_054_,23.905µm
net45,23.89µm
net66,23.76µm
_042_,23.235µm
net23,23.01µm
D[1],22.86µm
net38,22.825µm
net57,22.68µm
dbit\[3\],22.68µm
net22,22.485µm
net55,22.475µm
net92,22.435µm
BN[5],22.29µm
_030_,22.09µm
net84,22.09µm
B[10],21.81µm
B[8],21.72µm
BN[11],21.65µm
D[4],21.63µm
D[6],21.33µm
net103,21.12µm
net44,21.01µm
B[6],20.85µm
net52,20.83µm
_062_,20.78µm
BN[8],20.64µm
B[0],20.46µm
B[5],20.37µm
net81,20.29µm
_048_,20.28µm
net47,19.87µm
net54,19.39µm
_002_,19.32µm
net49,19.08µm
BN[7],19.05µm
B[4],19.005µm
_029_,18.5µm
BN[2],18.39µm
_005_,18.38µm
BN[3],18.15µm
net105,17.82µm
net94,17.715µm
B[3],17.55µm
net60,17.41µm
net26,17.4µm
Om,17.4µm
Op,17.4µm
D[9],17.28µm
net116,17.22µm
_031_,16.95µm
BN[4],16.86µm
net120,16.8µm
_061_,16.58µm
_024_,16.39µm
net101,16.21µm
_009_,16.09µm
_032_,15.86µm
_049_,15.72µm
net71,15.61µm
net39,15.58µm
net69,15.49µm
_056_,15.43µm
_020_,15.3µm
net122,15.02µm
_039_,14.96µm
D[5],14.88µm
_007_,14.82µm
_017_,14.82µm
net73,14.77µm
net78,14.77µm
BN[0],14.76µm
net50,14.755µm
net107,14.35µm
net83,14.28µm
net114,14.275µm
D[3],14.01µm
net99,13.81µm
net86,13.795µm
net65,13.57µm
net32,13.26µm
net72,13.21µm
net98,12.835µm
_026_,12.79µm
net88,12.645µm
_052_,12.54µm
net111,12.42µm
B[11],12.33µm
net48,12.3µm
_041_,12.26µm
net76,12.24µm
_021_,12.13µm
net109,12.06µm
_023_,11.89µm
net74,11.88µm
_004_,11.83µm
B[1],11.82µm
_064_,11.72µm
net64,11.41µm
net68,11.28µm
_046_,11.05µm
net67,10.93µm
_057_,10.4µm
net80,10.32µm
net87,10.14µm
net62,9.97µm
D[10],9.96µm
net56,9.36µm
_028_,8.955µm
net96,8.9µm
_011_,8.89µm
_019_,8.89µm
D[2],8.88µm
_027_,8.7µm
net82,8.64µm
net63,8.52µm
net46,8.46µm
net113,8.22µm
net21,8.11µm
_013_,7.99µm
_040_,7.94µm
net10,7.74µm
_067_,7.57µm
net43,7.555µm
_022_,7.55µm
net59,7.45µm
net104,7.26µm
BN[6],7.23µm
_060_,7.225µm
_050_,7.2µm
_044_,7.15µm
_000_,7.14µm
net108,6.98µm
D[7],6.81µm
BN[9],6.78µm
net61,6.72µm
net125,6.72µm
net110,6.67µm
net117,6.6µm
B[9],6.405µm
net93,6.36µm
net121,6.36µm
BN[1],6.31µm
net118,6.19µm
net70,6.12µm
net106,6.12µm
_035_,5.545µm
_015_,5.53µm
_016_,5.53µm
net119,5.35µm
_012_,5.34µm
_065_,5.065µm
net90,4.92µm
_001_,4.86µm
net127,4.86µm
_025_,4.81µm
_003_,4.74µm
net112,4.33µm
net75,4.09µm
net77,4.09µm
_010_,3.9µm
net123,3.9µm
net58,3.84µm
net79,3.72µm
_047_,3.505µm
net126,3.48µm
net95,3.42µm
net51,3µm
net128,3µm
net130,3µm
_045_,2.76µm
net85,2.73µm
_038_,2.66µm
net97,2.58µm
net102,2.18µm
net129,2.18µm
_033_,1.87µm
_006_,1.8µm
_008_,1.8µm
_014_,1.8µm
_018_,1.8µm
_037_,1.705µm
net100,1.7µm
net115,1.44µm
_034_,0.98µm
net89,0.96µm
net91,0.96µm
