Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_17_144,VSS,Metal1,75.8280,82.7830,0.000008
FILLER_17_137,VSS,Metal1,73.2060,82.6990,0.000008
FILLER_17_130,VSS,Metal1,69.8460,82.6990,0.000008
FILLER_17_123,VSS,Metal1,66.4860,82.6990,0.000008
FILLER_17_117,VSS,Metal1,62.4000,83.1600,0.000008
FILLER_17_84,VSS,Metal1,46.3200,83.1600,0.000007
FILLER_17_77,VSS,Metal1,44.4060,82.6990,0.000007
FILLER_17_70,VSS,Metal1,41.0460,82.6990,0.000007
FILLER_17_53,VSS,Metal1,31.4400,83.1600,0.000006
FILLER_17_49,VSS,Metal1,30.2280,82.7830,0.000006
FILLER_17_42,VSS,Metal1,27.6060,82.6990,0.000006
FILLER_17_35,VSS,Metal1,24.2460,82.6990,0.000006
FILLER_17_28,VSS,Metal1,20.8860,82.6990,0.000006
FILLER_17_21,VSS,Metal1,17.5260,82.6990,0.000006
FILLER_17_14,VSS,Metal1,14.1660,82.6990,0.000006
FILLER_17_7,VSS,Metal1,10.8060,82.6990,0.000006
FILLER_17_0,VSS,Metal1,7.4460,82.6990,0.000006
FILLER_16_147,VSS,Metal1,76.5600,75.6000,0.000181
FILLER_16_143,VSS,Metal1,75.3480,75.9760,0.000181
FILLER_16_136,VSS,Metal1,72.7260,76.0600,0.000181
FILLER_16_129,VSS,Metal1,69.3660,76.0600,0.000181
FILLER_16_122,VSS,Metal1,66.0060,76.0600,0.000181
FILLER_16_88,VSS,Metal1,48.4800,75.6000,0.000179
FILLER_16_32,VSS,Metal1,21.6000,75.6000,0.000179
FILLER_16_28,VSS,Metal1,20.1480,75.9760,0.000179
FILLER_16_21,VSS,Metal1,17.5260,76.0600,0.000179
FILLER_16_14,VSS,Metal1,14.1660,76.0600,0.000179
FILLER_16_7,VSS,Metal1,10.8060,76.0600,0.000179
FILLER_16_0,VSS,Metal1,7.4460,76.0600,0.000179
FILLER_15_136,VSS,Metal1,71.9880,75.2230,0.000181
FILLER_15_129,VSS,Metal1,69.3660,75.1390,0.000181
FILLER_15_24,VSS,Metal1,18.2280,75.2230,0.000179
FILLER_15_17,VSS,Metal1,15.6060,75.1390,0.000179
FILLER_15_11,VSS,Metal1,11.5200,75.6000,0.000179
FILLER_15_7,VSS,Metal1,10.0680,75.2230,0.000179
FILLER_15_0,VSS,Metal1,7.4460,75.1390,0.000179
FILLER_14_139,VSS,Metal1,72.7200,68.0400,0.000703
FILLER_14_137,VSS,Metal1,72.0000,68.0400,0.000703
FILLER_14_78,VSS,Metal1,43.4400,68.0400,0.000701
FILLER_14_74,VSS,Metal1,42.2280,68.4160,0.000701
FILLER_14_2,VSS,Metal1,6.9600,68.0400,0.000697
FILLER_14_0,VSS,Metal1,6.2400,68.0400,0.000697
FILLER_13_147,VSS,Metal1,76.5600,68.0400,0.000703
