Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_17_144,VDD,Metal1,75.8510,79.9760,1.199898
FILLER_17_137,VDD,Metal1,73.2090,79.9780,1.199898
FILLER_17_130,VDD,Metal1,69.8490,79.9780,1.199898
FILLER_17_123,VDD,Metal1,66.4890,79.9780,1.199898
FILLER_17_117,VDD,Metal1,62.4000,79.3800,1.199898
FILLER_17_84,VDD,Metal1,46.3200,79.3800,1.199900
FILLER_17_77,VDD,Metal1,44.4090,79.9780,1.199900
FILLER_17_70,VDD,Metal1,41.0490,79.9780,1.199900
FILLER_17_53,VDD,Metal1,31.4400,79.3800,1.199901
FILLER_17_49,VDD,Metal1,30.2510,79.9760,1.199902
FILLER_17_42,VDD,Metal1,27.6090,79.9780,1.199929
FILLER_17_35,VDD,Metal1,24.2490,79.9780,1.199930
FILLER_17_28,VDD,Metal1,20.8890,79.9780,1.199930
FILLER_17_21,VDD,Metal1,17.5290,79.9780,1.199936
FILLER_17_14,VDD,Metal1,14.1690,79.9780,1.199936
FILLER_17_7,VDD,Metal1,10.8090,79.9780,1.199936
FILLER_17_0,VDD,Metal1,7.4490,79.9780,1.199936
FILLER_16_147,VDD,Metal1,76.5600,79.3800,1.199898
FILLER_16_143,VDD,Metal1,75.3710,78.7830,1.199898
FILLER_16_136,VDD,Metal1,72.7290,78.7810,1.199898
FILLER_16_129,VDD,Metal1,69.3690,78.7810,1.199898
FILLER_16_122,VDD,Metal1,66.0090,78.7810,1.199898
FILLER_16_88,VDD,Metal1,48.4800,79.3800,1.199899
FILLER_16_32,VDD,Metal1,21.6000,79.3800,1.199930
FILLER_16_28,VDD,Metal1,20.1710,78.7830,1.199930
FILLER_16_21,VDD,Metal1,17.5290,78.7810,1.199936
FILLER_16_14,VDD,Metal1,14.1690,78.7810,1.199936
FILLER_16_7,VDD,Metal1,10.8090,78.7810,1.199936
FILLER_16_0,VDD,Metal1,7.4490,78.7810,1.199936
FILLER_15_136,VDD,Metal1,72.0110,72.4160,1.199437
FILLER_15_129,VDD,Metal1,69.3690,72.4180,1.199437
FILLER_15_24,VDD,Metal1,18.2510,72.4160,1.199523
FILLER_15_17,VDD,Metal1,15.6090,72.4180,1.199523
FILLER_15_11,VDD,Metal1,11.5200,71.8200,1.199523
FILLER_15_7,VDD,Metal1,10.0910,72.4160,1.199523
FILLER_15_0,VDD,Metal1,7.4490,72.4180,1.199523
FILLER_14_139,VDD,Metal1,72.7200,71.8200,1.199437
FILLER_14_137,VDD,Metal1,72.0000,71.8200,1.199437
FILLER_14_78,VDD,Metal1,43.4400,71.8200,1.199473
FILLER_14_74,VDD,Metal1,42.2510,71.2230,1.199478
FILLER_14_2,VDD,Metal1,6.9600,71.8200,1.199523
FILLER_14_0,VDD,Metal1,6.2400,71.8200,1.199523
FILLER_13_147,VDD,Metal1,76.5600,64.2600,1.199568
FILLER_13_66,VDD,Metal1,37.6800,64.2600,1.199590
FILLER_13_34,VDD,Metal1,22.3200,64.2600,1.199595
FILLER_13_6,VDD,Metal1,8.8800,64.2600,1.199595
FILLER_13_4,VDD,Metal1,8.1600,64.2600,1.199595
FILLER_12_120,VDD,Metal1,63.6000,64.2600,1.199568
FILLER_12_118,VDD,Metal1,62.8800,64.2600,1.199568
FILLER_12_101,VDD,Metal1,54.4800,64.2600,1.199571
FILLER_12_87,VDD,Metal1,48.0000,64.2600,1.199588
FILLER_12_12,VDD,Metal1,11.7600,64.2600,1.199595
FILLER_11_147,VDD,Metal1,76.5600,56.7000,1.199764
FILLER_11_145,VDD,Metal1,75.8400,56.7000,1.199764
FILLER_11_98,VDD,Metal1,53.0400,56.7000,1.199765
FILLER_11_96,VDD,Metal1,52.3200,56.7000,1.199765
FILLER_11_0,VDD,Metal1,6.2400,56.7000,1.199769
FILLER_10_147,VDD,Metal1,76.5600,56.7000,1.199764
FILLER_10_92,VDD,Metal1,50.4000,56.7000,1.199765
FILLER_10_70,VDD,Metal1,39.8400,56.7000,1.199766
FILLER_10_53,VDD,Metal1,31.4400,56.7000,1.199766
FILLER_10_4,VDD,Metal1,8.1600,56.7000,1.199769
FILLER_9_146,VDD,Metal1,76.3200,49.1400,1.199562
FILLER_9_106,VDD,Metal1,56.8800,49.1400,1.199576
FILLER_9_104,VDD,Metal1,56.1600,49.1400,1.199576
FILLER_9_73,VDD,Metal1,41.2800,49.1400,1.199578
FILLER_9_4,VDD,Metal1,8.1600,49.1400,1.199613
FILLER_8_147,VDD,Metal1,76.5600,49.1400,1.199562
FILLER_8_99,VDD,Metal1,53.5200,49.1400,1.199576
FILLER_8_59,VDD,Metal1,34.3200,49.1400,1.199588
FILLER_8_52,VDD,Metal1,31.2000,49.1400,1.199593
FILLER_8_46,VDD,Metal1,28.0800,49.1400,1.199605
FILLER_8_28,VDD,Metal1,19.6800,49.1400,1.199613
FILLER_8_6,VDD,Metal1,8.8800,49.1400,1.199613
FILLER_8_4,VDD,Metal1,8.1600,49.1400,1.199613
FILLER_7_127,VDD,Metal1,67.2000,41.5800,1.199697
FILLER_7_71,VDD,Metal1,40.3200,41.5800,1.199702
FILLER_7_43,VDD,Metal1,26.8800,41.5800,1.199704
FILLER_7_0,VDD,Metal1,6.2400,41.5800,1.199733
FILLER_6_146,VDD,Metal1,76.3200,41.5800,1.199697
FILLER_6_108,VDD,Metal1,58.0800,41.5800,1.199700
FILLER_6_4,VDD,Metal1,8.1600,41.5800,1.199733
FILLER_5_116,VDD,Metal1,61.6800,34.0200,1.199382
FILLER_5_106,VDD,Metal1,56.8800,34.0200,1.199382
FILLER_5_104,VDD,Metal1,56.1600,34.0200,1.199386
FILLER_5_56,VDD,Metal1,32.8800,34.0200,1.199442
FILLER_5_54,VDD,Metal1,32.1600,34.0200,1.199443
FILLER_5_6,VDD,Metal1,8.8800,34.0200,1.199450
FILLER_5_4,VDD,Metal1,8.1600,34.0200,1.199450
FILLER_4_147,VDD,Metal1,76.5600,34.0200,1.199375
FILLER_4_119,VDD,Metal1,63.3600,34.0200,1.199375
FILLER_4_0,VDD,Metal1,6.0000,34.0200,1.199450
FILLER_3_135,VDD,Metal1,70.8000,26.4600,1.199658
FILLER_3_133,VDD,Metal1,70.0800,26.4600,1.199658
FILLER_3_105,VDD,Metal1,56.4000,26.4600,1.199659
FILLER_3_103,VDD,Metal1,55.6800,26.4600,1.199660
FILLER_3_46,VDD,Metal1,28.0800,26.4600,1.199699
FILLER_3_4,VDD,Metal1,7.9200,26.4600,1.199708
FILLER_2_132,VDD,Metal1,70.0910,25.8630,1.199658
FILLER_2_67,VDD,Metal1,38.4000,26.4600,1.199668
FILLER_2_39,VDD,Metal1,24.9600,26.4600,1.199704
FILLER_2_30,VDD,Metal1,20.6400,26.4600,1.199710
FILLER_1_139,VDD,Metal1,72.7200,18.9000,1.199830
FILLER_1_132,VDD,Metal1,70.8090,19.4980,1.199830
FILLER_1_125,VDD,Metal1,67.4490,19.4980,1.199830
FILLER_1_118,VDD,Metal1,64.0890,19.4980,1.199830
FILLER_1_100,VDD,Metal1,55.4490,19.4980,1.199830
FILLER_1_93,VDD,Metal1,52.0890,19.4980,1.199831
FILLER_1_22,VDD,Metal1,16.5600,18.9000,1.199843
FILLER_1_18,VDD,Metal1,15.3710,19.4960,1.199843
FILLER_1_11,VDD,Metal1,12.7290,19.4980,1.199843
FILLER_1_4,VDD,Metal1,9.3690,19.4980,1.199843
FILLER_0_144,VDD,Metal1,75.8510,18.3030,1.199830
FILLER_0_137,VDD,Metal1,73.2090,18.3010,1.199830
FILLER_0_130,VDD,Metal1,69.8490,18.3010,1.199830
FILLER_0_123,VDD,Metal1,66.4890,18.3010,1.199830
FILLER_0_116,VDD,Metal1,63.1290,18.3010,1.199830
FILLER_0_109,VDD,Metal1,59.7690,18.3010,1.199830
FILLER_0_102,VDD,Metal1,56.4090,18.3010,1.199830
FILLER_0_95,VDD,Metal1,53.0490,18.3010,1.199831
FILLER_0_88,VDD,Metal1,49.6890,18.3010,1.199831
FILLER_0_75,VDD,Metal1,42.7310,18.3030,1.199831
FILLER_0_69,VDD,Metal1,39.1200,18.9000,1.199831
FILLER_0_59,VDD,Metal1,34.5600,18.9000,1.199833
FILLER_0_23,VDD,Metal1,17.0400,18.9000,1.199843
FILLER_0_21,VDD,Metal1,16.3200,18.9000,1.199843
FILLER_0_14,VDD,Metal1,14.1690,18.3010,1.199843
FILLER_0_7,VDD,Metal1,10.8090,18.3010,1.199843
FILLER_0_0,VDD,Metal1,7.4490,18.3010,1.199843
hold47,VDD,Metal1,53.4760,49.4550,1.199576
hold46,VDD,Metal1,53.5630,34.3350,1.199386
hold45,VDD,Metal1,57.7960,41.8950,1.199700
hold44,VDD,Metal1,33.8830,56.3840,1.199766
hold43,VDD,Metal1,45.3160,63.9440,1.199588
hold42,VDD,Metal1,57.4030,26.1440,1.199659
hold41,VDD,Metal1,45.8830,18.5840,1.199831
hold40,VDD,Metal1,40.1230,26.7750,1.199662
hold39,VDD,Metal1,48.2830,33.7040,1.199390
hold38,VDD,Metal1,59.3230,34.3350,1.199382
hold37,VDD,Metal1,66.0430,33.7040,1.199375
hold36,VDD,Metal1,28.1230,79.0640,1.199929
hold35,VDD,Metal1,35.3230,64.5750,1.199590
hold34,VDD,Metal1,51.1630,79.0640,1.199899
hold33,VDD,Metal1,61.7230,72.1350,1.199438
hold32,VDD,Metal1,24.7630,64.5750,1.199592
hold31,VDD,Metal1,17.4760,63.9440,1.199595
hold30,VDD,Metal1,21.7960,63.9440,1.199595
hold29,VDD,Metal1,17.5630,57.0150,1.199771
hold28,VDD,Metal1,52.6030,79.6950,1.199899
hold27,VDD,Metal1,62.2030,79.0640,1.199898
hold26,VDD,Metal1,53.0830,64.5750,1.199572
hold25,VDD,Metal1,35.8030,26.1440,1.199687
hold24,VDD,Metal1,30.5230,26.7750,1.199694
hold23,VDD,Metal1,60.2830,63.9440,1.199568
hold22,VDD,Metal1,72.2830,64.5750,1.199568
hold21,VDD,Metal1,26.2030,63.9440,1.199591
hold20,VDD,Metal1,39.1630,71.5040,1.199498
hold19,VDD,Metal1,44.4430,72.1350,1.199473
hold18,VDD,Metal1,13.1560,57.0150,1.199769
hold17,VDD,Metal1,60.6760,41.2640,1.199700
hold16,VDD,Metal1,70.3630,33.7040,1.199375
hold15,VDD,Metal1,27.1630,34.3350,1.199445
hold14,VDD,Metal1,22.3630,48.8240,1.199613
hold13,VDD,Metal1,16.9960,48.8240,1.199613
hold12,VDD,Metal1,61.7230,57.0150,1.199764
hold11,VDD,Metal1,74.2030,56.3840,1.199764
hold10,VDD,Metal1,64.6030,41.8950,1.199697
hold9,VDD,Metal1,74.6830,41.8950,1.199697
hold8,VDD,Metal1,23.3230,26.7750,1.199704
hold7,VDD,Metal1,17.9560,26.1440,1.199710
hold6,VDD,Metal1,23.8030,41.2640,1.199708
hold5,VDD,Metal1,16.5160,34.3350,1.199450
hold4,VDD,Metal1,21.7960,57.0150,1.199769
hold3,VDD,Metal1,73.2430,57.0150,1.199764
hold2,VDD,Metal1,65.0830,48.8240,1.199562
hold1,VDD,Metal1,74.2030,48.8240,1.199562
clkload2,VDD,Metal1,64.7700,71.9870,1.199437
clkload1,VDD,Metal1,23.0100,71.6520,1.199523
clkload0,VDD,Metal1,10.1100,34.1870,1.199450
clkbuf_2_3__f_clk,VDD,Metal1,64.7570,71.3670,1.199437
clkbuf_2_2__f_clk,VDD,Metal1,30.1970,64.7120,1.199590
clkbuf_2_1__f_clk,VDD,Metal1,59.5620,33.5670,1.199382
clkbuf_2_0__f_clk,VDD,Metal1,21.6420,34.4720,1.199450
clkbuf_0_clk,VDD,Metal1,43.7220,48.6870,1.199578
B\[11\]$_SDFFE_PP1P__40,VDD,Metal1,31.3320,49.2560,1.199593
output39,VDD,Metal1,75.8100,26.2920,1.199658
output38,VDD,Metal1,6.7500,26.6270,1.199708
output37,VDD,Metal1,75.8100,26.6270,1.199658
output36,VDD,Metal1,75.8100,71.9870,1.199437
output35,VDD,Metal1,34.5300,79.5470,1.199900
output34,VDD,Metal1,7.7100,41.7470,1.199733
output33,VDD,Metal1,71.9700,26.2920,1.199658
output32,VDD,Metal1,75.3300,64.4270,1.199568
output31,VDD,Metal1,6.7500,49.3070,1.199613
output30,VDD,Metal1,33.1500,18.7320,1.199833
output29,VDD,Metal1,60.9900,79.5470,1.199898
output28,VDD,Metal1,8.6700,64.0920,1.199595
output27,VDD,Metal1,73.8900,26.2920,1.199658
output26,VDD,Metal1,6.7500,64.0920,1.199595
output25,VDD,Metal1,8.6700,26.2920,1.199708
output24,VDD,Metal1,73.8900,71.9870,1.199437
output23,VDD,Metal1,63.8700,79.5470,1.199898
output22,VDD,Metal1,36.4500,79.5470,1.199900
output21,VDD,Metal1,6.7500,34.1870,1.199450
output20,VDD,Metal1,73.8900,19.0670,1.199830
output19,VDD,Metal1,75.8100,34.1870,1.199375
output18,VDD,Metal1,6.7500,48.9720,1.199613
output17,VDD,Metal1,71.9700,26.6270,1.199658
output16,VDD,Metal1,47.4900,79.5470,1.199899
output15,VDD,Metal1,18.2100,18.7320,1.199843
output14,VDD,Metal1,6.7500,64.4270,1.199595
output13,VDD,Metal1,6.7500,26.2920,1.199708
output12,VDD,Metal1,75.3300,33.8520,1.199375
output11,VDD,Metal1,75.8100,71.6520,1.199437
output10,VDD,Metal1,32.6100,79.5470,1.199901
output9,VDD,Metal1,6.7500,41.4120,1.199733
output8,VDD,Metal1,75.8100,19.0670,1.199830
output7,VDD,Metal1,73.8900,71.6520,1.199437
output6,VDD,Metal1,6.7500,56.5320,1.199769
output5,VDD,Metal1,73.8900,26.6270,1.199658
output4,VDD,Metal1,59.0700,79.5470,1.199899
output3,VDD,Metal1,6.7500,19.0670,1.199843
input2,VDD,Metal1,37.8900,18.7320,1.199831
input1,VDD,Metal1,35.9700,18.7320,1.199832
dbit\[1\]$_SDFFE_PP1P__67,VDD,Metal1,42.3720,49.2560,1.199578
BN\[10\]$_SDFFE_PP1P__66,VDD,Metal1,37.5720,71.9360,1.199498
B\[1\]$_SDFFE_PP1P__65,VDD,Metal1,10.2120,64.1430,1.199595
BN\[11\]$_SDFFE_PP1P__64,VDD,Metal1,61.7870,19.0160,1.199830
B\[8\]$_SDFFE_PP1P__63,VDD,Metal1,6.8520,33.9030,1.199450
BN\[1\]$_SDFFE_PP1P__62,VDD,Metal1,7.3320,56.8160,1.199769
B\[2\]$_SDFFE_PP1P__61,VDD,Metal1,55.8120,64.3760,1.199568
BN\[2\]$_SDFFE_PP1P__60,VDD,Metal1,70.9070,71.7030,1.199437
dbit\[3\]$_SDFFE_PP1P__59,VDD,Metal1,35.6520,19.0160,1.199832
BN\[3\]$_SDFFE_PP1P__58,VDD,Metal1,63.4920,26.3430,1.199658
B\[3\]$_SDFFE_PP1P__57,VDD,Metal1,73.7870,33.9030,1.199375
BN\[4\]$_SDFFE_PP1P__56,VDD,Metal1,9.7320,49.0230,1.199613
B\[9\]$_SDFFE_PP1P__55,VDD,Metal1,7.8120,71.7030,1.199523
BN\[5\]$_SDFFE_PP1P__54,VDD,Metal1,24.6120,79.2630,1.199930
B\[4\]$_SDFFE_PP1P__53,VDD,Metal1,11.6520,49.0230,1.199613
BN\[6\]$_SDFFE_PP1P__52,VDD,Metal1,54.5870,79.2630,1.199899
dbit\[2\]$_SDFFE_PP0P__51,VDD,Metal1,33.2520,26.5760,1.199693
BN\[7\]$_SDFFE_PP1P__50,VDD,Metal1,67.0670,71.9360,1.199437
B\[5\]$_SDFFE_PP1P__49,VDD,Metal1,22.6920,79.2630,1.199930
BN\[8\]$_SDFFE_PP1P__48,VDD,Metal1,10.2120,26.3430,1.199708
dbit\[0\]$_SDFFE_PP1P__47,VDD,Metal1,39.4920,33.9030,1.199429
BN\[9\]$_SDFFE_PP1P__46,VDD,Metal1,12.6120,71.9360,1.199523
B\[6\]$_SDFFE_PP1P__45,VDD,Metal1,49.7870,79.4960,1.199899
B\[0\]$_SDFFE_PP1P__44,VDD,Metal1,12.1320,26.3430,1.199708
BN\[0\]$_SDFFE_PP1P__43,VDD,Metal1,17.4120,19.0160,1.199843
B\[10\]$_SDFFE_PP1P__42,VDD,Metal1,38.7470,79.4960,1.199900
B\[7\]$_SDFFE_PP1P__41,VDD,Metal1,68.9870,71.7030,1.199437
fanout16,VDD,Metal1,32.7110,48.8620,1.199589
fanout15,VDD,Metal1,39.8100,49.3070,1.199588
fanout14,VDD,Metal1,36.9170,42.0320,1.199702
fanout13,VDD,Metal1,13.9500,48.9720,1.199613
fanout12,VDD,Metal1,30.2820,42.0320,1.199704
fanout11,VDD,Metal1,43.6370,56.2470,1.199766
fanout10,VDD,Metal1,46.1220,57.1520,1.199766
fanout9,VDD,Metal1,47.9700,41.7470,1.199700
fanout8,VDD,Metal1,50.3570,48.6870,1.199576
fanout7,VDD,Metal1,58.0500,56.5320,1.199764
fanout6,VDD,Metal1,43.7220,42.0320,1.199700
fanout5,VDD,Metal1,44.1300,34.1870,1.199392
fanout4,VDD,Metal1,53.3220,33.5670,1.199386
fanout3,VDD,Metal1,56.6820,48.6870,1.199576
fanout2,VDD,Metal1,53.8020,56.2470,1.199765
fanout1,VDD,Metal1,37.4820,48.6870,1.199588
dbit\[3\]$_SDFFE_PP1P_,VDD,Metal1,44.5960,19.3870,1.199831
dbit\[2\]$_SDFFE_PP0P_,VDD,Metal1,46.5160,25.9720,1.199660
dbit\[1\]$_SDFFE_PP1P_,VDD,Metal1,51.7960,41.0920,1.199700
dbit\[0\]$_SDFFE_PP1P_,VDD,Metal1,48.7420,26.9410,1.199660
_204_,VDD,Metal1,68.1300,26.2920,1.199658
_175_,VDD,Metal1,36.2780,26.8590,1.199687
_174_,VDD,Metal1,40.6970,18.7350,1.199831
_173_,VDD,Metal1,41.9030,33.6630,1.199395
_172_,VDD,Metal1,37.2660,33.6320,1.199430
_171_,VDD,Metal1,41.5860,34.4070,1.199395
_170_,VDD,Metal1,38.3950,34.2910,1.199430
_169_,VDD,Metal1,32.7830,41.2230,1.199704
_168_,VDD,Metal1,29.6160,33.6630,1.199443
_167_,VDD,Metal1,32.0570,33.8550,1.199443
_166_,VDD,Metal1,34.8380,34.4190,1.199435
_165_,VDD,Metal1,42.2760,41.1800,1.199700
_164_,VDD,Metal1,23.5080,33.6430,1.199450
_163_,VDD,Metal1,69.6110,48.7630,1.199562
